EDR3Name,GLON,GLAT,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP,probs_final
Gaia EDR3 5329867531722699648,265.1427341678,-1.9631004442,0.476,0.0531,-5.021,0.061,5.021,0.061,17.087526,0.002875,1.307262,,,0.013963,0.99009900990099
Gaia EDR3 5329867639115490688,265.1410469006,-1.9400356622,0.4837,0.0377,-4.98,0.041,5.001,0.043,16.446741,0.002797,1.126312,,,0.010914,0.99009900990099
Gaia EDR3 5329867673475236096,265.1339887448,-1.9214347633,0.4654,0.0114,-4.96,0.012,5.161,0.013,12.778293,0.002763,0.415603,,,0.006725,0.99009900990099
Gaia EDR3 5329868772987498112,265.0752660777,-1.9146672844,0.4817,0.0491,-5.248,0.05,4.994,0.058,16.72907,0.002882,1.272383,,,0.01188,0.99009900990099
Gaia EDR3 5522012518743107584,265.0945291546,-2.2825360953,0.456,0.0164,-5.142,0.017,5.125,0.017,14.432339,0.002762,0.957101,,,0.006956,0.99009900990099
Gaia EDR3 5522012553102847232,265.0838040568,-2.2601493665,0.4491,0.012,-5.064,0.012,5.125,0.012,13.4633,0.002763,0.789685,,,0.006673,0.99009900990099
Gaia EDR3 5522013755693739904,265.0956435328,-2.1914981787,0.4254,0.0268,-5.124,0.028,5.114,0.027,15.66086,0.002779,1.075299,,,0.007827,0.99009900990099
Gaia EDR3 5522014717766493056,265.0668093556,-2.15533332,0.4876,0.038,-5.27,0.041,5.179,0.041,16.357836,0.002797,1.305145,,,0.009456,0.99009900990099
Gaia EDR3 5522019798703613568,264.9083561007,-2.114238181,0.4588,0.0384,-5.046,0.045,5.175,0.042,16.161201,0.002801,1.12967,,,0.008341,0.99009900990099
Gaia EDR3 5522021589714075008,264.9995454942,-2.0338120147,0.4267,0.0443,-5.281,0.046,5.14,0.046,16.776983,0.002884,1.609676,,,0.012073,0.99009900990099
Gaia EDR3 5522025124462236672,264.9395204711,-1.9856770624,0.5423,0.0593,-5.198,0.064,4.995,0.066,17.3524,0.002938,1.569851,,,0.020648,0.99009900990099
Gaia EDR3 5522026812397087232,264.9329037698,-1.9141364569,0.54,0.048,-5.203,0.054,5.082,0.052,16.816729,0.002845,1.506882,,,0.013728,0.99009900990099
Gaia EDR3 5522030763764007808,264.8267411207,-2.1733534453,0.3771,0.0368,-5.085,0.04,5.136,0.037,16.203035,0.002799,1.169035,,,0.009089,0.99009900990099
Gaia EDR3 5522039388058176256,264.7818205501,-1.9842821552,0.4554,0.0288,-5.181,0.033,5.183,0.029,15.791552,0.002781,1.052382,,,0.007722,0.99009900990099
Gaia EDR3 5522040178332184576,264.8029692001,-1.9175702664,0.448,0.0132,-5.116,0.014,5.223,0.015,12.868706,0.002765,0.438114,,,0.006668,0.99009900990099
Gaia EDR3 5329864478019729280,265.2255011384,-1.9197611097,0.4755,0.0321,-5.053,0.035,4.936,0.04,15.416491,0.00279,1.129131,,,0.00732,0.98019801980198
Gaia EDR3 5522014442888535808,265.0745014899,-2.1038437093,0.4805,0.0456,-5.278,0.05,5.234,0.049,16.68922,0.002817,1.309151,,,0.011103,0.98019801980198
Gaia EDR3 5522019218892021504,264.9314032837,-2.1349475889,0.4519,0.0569,-5.056,0.059,5.052,0.061,17.167025,0.002996,1.504833,,,0.017075,0.98019801980198
Gaia EDR3 5522020868159646720,265.052128964,-1.9781006268,0.3838,0.0558,-5.152,0.058,5.014,0.063,17.304634,0.002996,1.417093,,,0.014275,0.98019801980198
Gaia EDR3 5522021486624482304,265.0092715388,-2.0508372561,0.4293,0.0717,-5.141,0.073,5.069,0.087,17.604076,0.003088,1.587763,,,0.031125,0.98019801980198
Gaia EDR3 5522021654128561152,264.9836593368,-2.0370630885,0.4526,0.017,-5.258,0.019,5.329,0.018,14.728231,0.002764,1.101921,,,0.00698,0.98019801980198
Gaia EDR3 5329863619026351616,265.2455975738,-1.8810720253,0.46,0.0276,-5.069,0.03,4.966,0.033,15.704969,0.002779,1.031086,,,0.007732,0.97029702970297
Gaia EDR3 5329868837392864000,265.0651482302,-1.918812005,0.4813,0.0458,-5.252,0.047,4.997,0.052,16.764606,0.002831,1.264061,,,0.011866,0.97029702970297
Gaia EDR3 5522025850321538688,264.8976219475,-2.0489513597,0.4256,0.0667,-5.192,0.073,5.179,0.066,17.498425,0.003318,1.673094,,,0.018125,0.97029702970297
Gaia EDR3 5329860487980594816,265.1342258789,-2.1126714395,0.5691,0.0665,-5.19,0.08,5.154,0.077,17.405767,0.003072,1.408625,,,0.015826,0.96039603960396
Gaia EDR3 5329867840960387712,265.1430781539,-1.9152660785,0.4346,0.0654,-4.965,0.072,4.958,0.073,17.454721,0.003727,1.421122,,,0.018118,0.96039603960396
Gaia EDR3 5522022517427118080,265.0306272397,-1.9120646995,0.4361,0.0582,-5.233,0.061,5.094,0.067,17.263407,0.002894,1.738459,,,0.01663,0.96039603960396
Gaia EDR3 5329862755723379584,265.2024280456,-2.0009895711,0.4859,0.0505,-5.078,0.055,5.19,0.057,16.988527,0.00304,1.240284,,,0.013073,0.95049504950495
Gaia EDR3 5329865195264737408,265.2048408021,-2.0530763168,0.364,0.0567,-5.003,0.066,4.995,0.065,17.24757,0.003114,1.269493,,,0.019908,0.95049504950495
Gaia EDR3 5522014580327430272,265.0661920181,-2.1887482054,0.4552,0.0712,-5.195,0.075,5.07,0.078,17.614313,0.003539,1.709959,,,0.024419,0.95049504950495
Gaia EDR3 5522018561752041472,264.9926007337,-2.1011290709,0.5275,0.0572,-5.284,0.065,5.071,0.062,17.23529,0.002924,1.418997,,,0.01281,0.95049504950495
Gaia EDR3 5522021005598577920,265.0325377975,-1.9954991656,0.423,0.0624,-5.231,0.069,5.045,0.07,17.405724,0.003096,1.437731,,,0.016408,0.95049504950495
Gaia EDR3 5522022478762305408,265.0482464332,-1.9355925001,0.5951,0.0644,-5.101,0.069,5.111,0.077,17.476889,0.002958,1.55578,,,0.016678,0.95049504950495
Gaia EDR3 5522025781602069120,264.8963632179,-2.0277080976,0.5154,0.0561,-5.126,0.056,5.181,0.055,16.500349,0.002963,1.318341,,,0.017449,0.95049504950495
Gaia EDR3 5329863000551063808,265.278471288,-1.9390685585,0.4995,0.0303,-5.188,0.031,4.963,0.036,15.692297,0.002781,0.973382,,,0.008396,0.94059405940594
Gaia EDR3 5522014545967737216,265.0534051567,-2.0881103758,0.5176,0.0219,-5.337,0.024,4.94,0.023,15.303425,0.002769,1.158355,,,0.007308,0.930693069306931
Gaia EDR3 5329861179484894080,265.3140188674,-2.0410494288,0.4459,0.0472,-5.14,0.054,5.066,0.055,16.766619,0.002933,1.117106,,,0.013165,0.920792079207921
Gaia EDR3 5522015641175793152,264.9935163314,-2.08534912,0.4732,0.0459,-5.101,0.043,5.22,0.077,16.571625,0.002982,1.319186,,,0.033992,0.920792079207921
Gaia EDR3 5522032653549608960,264.7833243422,-2.1232611021,0.4665,0.0314,-5.189,0.033,5.031,0.033,15.832048,0.002866,1.191423,,,0.017444,0.920792079207921
Gaia EDR3 5522018458672813056,264.9985404159,-2.1105175734,0.3874,0.1106,-5.163,0.117,5.077,0.141,18.263245,0.003519,1.747692,,,0.027113,0.910891089108911
Gaia EDR3 5522026705010261376,264.9438945917,-1.92940564,0.3176,0.0723,-5.186,0.079,5.128,0.082,17.671225,0.00323,1.764771,,,0.023684,0.910891089108911
