EDR3Name,GLON,GLAT,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP,probs_final
Gaia EDR3 5522399409390773120,264.0484276522,-1.7241950159,130.45836334595,-44.92610684866,0.4584,0.0297,-5.317,0.031,5.071,0.032,15.850308,0.002778,1.074795,,,0.008003,1
Gaia EDR3 5522402776645096192,263.9813582867,-1.7141663298,130.41142195262,-44.86703823428,0.4965,0.0362,-5.281,0.039,5.122,0.04,16.340345,0.002833,1.211989,,,0.010258,1
Gaia EDR3 5522206891779726848,264.2280880985,-1.6450873865,130.7027280108,-45.0189635738,0.4581,0.0315,-5.423,0.037,5.126,0.035,15.516657,0.00278,1.126451,,,0.008102,0.96
Gaia EDR3 5522209640558713984,264.1819433495,-1.6943547352,130.6076318734,-45.01298979301,0.5229,0.0132,-5.351,0.015,5.184,0.014,12.820863,0.002768,0.6399,,,0.006757,0.96
Gaia EDR3 5522209709278177664,264.1694215623,-1.6962561386,130.59461375892,-45.004297085,0.5314,0.0597,-5.387,0.063,5.06,0.057,17.155313,0.002951,1.408608,,,0.015332,0.96
Gaia EDR3 5522211113720469248,264.1259712406,-1.6852109577,130.56913029404,-44.96326787907,0.5303,0.0865,-5.357,0.089,5.083,0.086,17.845129,0.00298,1.562244,,,0.024963,0.96
Gaia EDR3 5522116422587209216,264.1831034868,-1.7749542939,130.5187243438,-45.06349361853,0.4511,0.0623,-5.119,0.071,5.119,0.067,17.343637,0.003347,1.448038,,,0.022521,0.92
Gaia EDR3 5522194999003298816,264.3509789474,-1.6305268691,130.8262830734,-45.10663138419,0.4051,0.1704,-5.435,0.172,4.955,0.216,18.837626,0.003466,1.878805,,,0.073912,0.92
Gaia EDR3 5522195686205698944,264.3203998944,-1.5448293151,130.89491736745,-45.0296333241,0.5129,0.0536,-5.518,0.056,4.99,0.057,17.055809,0.002849,1.384958,,,0.01181,0.92
Gaia EDR3 5522206273304386048,264.2349685237,-1.7396297386,130.603320091,-45.0826295119,0.4092,0.0859,-5.358,0.089,5.02,0.082,17.802847,0.003084,1.621363,,,0.02175,0.92
Gaia EDR3 5522208884644597504,264.2107535765,-1.5331464737,130.81212852188,-44.93624650473,0.4612,0.1292,-5.447,0.126,5.087,0.163,18.410746,0.003164,1.66444,,,0.035499,0.92
Gaia EDR3 5522209327013975936,264.210325062,-1.711941374,130.61273906523,-45.04617219298,0.4126,0.187,-5.396,0.19,5.007,0.194,18.930431,0.003833,2.03305,,,0.057849,0.92
Gaia EDR3 5522209846717164672,264.1899706798,-1.6716390183,130.63993540981,-45.00532208299,0.3902,0.0406,-5.384,0.046,5.004,0.04,16.406841,0.002906,1.38385,,,0.013439,0.92
Gaia EDR3 5522210048568536576,264.182122569,-1.6704787009,130.63439412138,-44.9984275295,0.4774,0.0649,-5.475,0.074,5.095,0.064,17.339027,0.003441,1.470468,,,0.041241,0.92
Gaia EDR3 5522210499552134656,264.143106617,-1.7032612294,130.56391444316,-44.98787606103,0.5227,0.0496,-5.2,0.052,5.072,0.052,16.723743,0.003437,1.310219,,,0.018591,0.92
Gaia EDR3 5522212561136448256,264.1157914405,-1.6216335419,130.63105865874,-44.9161082334,0.497,0.0294,-5.282,0.032,4.894,0.032,15.950802,0.002784,1.215556,,,0.00783,0.92
Gaia EDR3 5522308184290163712,264.0316244271,-1.8232184987,130.33332798013,-44.97361610075,0.4875,0.014,-5.304,0.015,5.244,0.017,14.215318,0.00277,0.629783,,,0.006761,0.92
Gaia EDR3 5522407209051442560,264.0184178367,-1.4786631882,130.70522610092,-44.75133919356,0.4621,0.0184,-5.21,0.019,4.977,0.022,14.998287,0.002767,0.891102,,,0.006972,0.92
Gaia EDR3 5522115872837922304,264.1898857504,-1.8347341142,130.45783151309,-45.10557785757,0.3839,0.0489,-5.364,0.052,4.995,0.052,16.752491,0.002819,1.292389,,,0.011633,0.88
Gaia EDR3 5522209223934736384,264.2227542535,-1.7355292641,130.59725311806,-45.07048413325,0.3916,0.0978,-5.447,0.103,5.039,0.099,18.00297,0.003035,1.703037,,,0.028757,0.88
Gaia EDR3 5522209636251661568,264.1850476568,-1.6935003302,130.61128675934,-45.01490876862,0.3894,0.0793,-5.404,0.085,4.845,0.091,17.70963,0.003271,1.600254,,,0.044152,0.88
Gaia EDR3 5522399409390774784,264.0532751141,-1.7251039549,130.4615544661,-44.93048844722,0.3973,0.0463,-5.353,0.048,4.989,0.047,16.801289,0.002856,1.231731,,,0.014119,0.88
Gaia EDR3 5522195965374055808,264.2973968164,-1.5426547324,130.87721976725,-45.01021702238,0.4364,0.0925,-5.127,0.098,5.139,0.097,17.906116,0.003001,1.537434,,,0.024994,0.84
Gaia EDR3 5522206376374078080,264.2348380268,-1.7183025526,130.62700334351,-45.06939464217,0.4321,0.0858,-5.177,0.1,5.225,0.086,17.794212,0.003418,1.539476,,,0.034446,0.84
Gaia EDR3 5522207265429657600,264.2774564281,-1.6432991694,130.74779451626,-45.05670306917,0.4095,0.1712,-5.335,0.174,5.269,0.214,18.685358,0.003902,1.795891,,,0.06992,0.84
Gaia EDR3 5522209704971148928,264.1669503013,-1.6971611292,130.59145456071,-45.00290742829,0.5479,0.1601,-5.431,0.152,5.041,0.182,18.620161,0.004217,1.816011,,,0.067118,0.84
Gaia EDR3 5522209915436672000,264.1984374244,-1.6394370826,130.68317649623,-44.99214431717,0.4284,0.062,-5.365,0.064,5.249,0.067,17.18163,0.00341,1.495399,,,0.020989,0.84
Gaia EDR3 5522209949796387840,264.1916714101,-1.6623217543,130.651796365,-45.00092117639,0.4817,0.0794,-5.349,0.104,4.877,0.078,17.596285,0.003313,1.57011,,,0.025758,0.84
Gaia EDR3 5522211422958097024,264.1965630301,-1.6207142508,130.70238544375,-44.97912622962,0.3805,0.1299,-5.387,0.135,5.051,0.164,18.408957,0.003441,1.936178,,,0.057945,0.84
Gaia EDR3 5522209430093222016,264.191370599,-1.6968120057,130.61310051022,-45.02192788669,0.4166,0.0682,-5.331,0.072,5.255,0.067,17.423159,0.002965,1.661259,,,0.022519,0.8
Gaia EDR3 5522209984156123904,264.1759162829,-1.6350817847,130.66840877692,-44.97173243646,0.4572,0.016,-5.254,0.017,4.914,0.018,14.31006,0.00277,0.847502,,,0.010775,0.8
Gaia EDR3 5522210018515846400,264.1843267075,-1.6789121341,130.62691696515,-45.00535752127,0.4003,0.0554,-5.378,0.058,5.144,0.053,16.99903,0.002997,1.380848,,,0.014582,0.8
Gaia EDR3 5522116109045388416,264.1572278525,-1.8442111826,130.41884284245,-45.08563462442,0.4141,0.1441,-5.274,0.154,5.189,0.217,18.538464,0.003609,1.821442,,,0.055485,0.76
Gaia EDR3 5522206891770307328,264.2286209343,-1.6466485998,130.70145377912,-45.02034552551,0.5052,0.0851,-5.299,0.088,5.267,0.086,17.620802,0.003853,1.608705,,,0.029629,0.76
Gaia EDR3 5522209258294478592,264.2122228564,-1.7441600801,130.57844787093,-45.06749980073,0.5564,0.1542,-5.425,0.155,4.992,0.198,18.658094,0.003591,2.041655,,,0.039323,0.76
Gaia EDR3 5522209881076922496,264.201122592,-1.6628797593,130.65940749089,-45.00870585768,0.3719,0.0465,-5.368,0.05,5.126,0.051,16.669708,0.003048,1.312728,,,0.012684,0.76
Gaia EDR3 5522116628752133888,264.1365005399,-1.7913044171,130.45994874652,-45.03679536941,0.394,0.0539,-5.28,0.061,5.194,0.06,17.11005,0.002903,1.372805,,,0.016225,0.72
Gaia EDR3 5522211491677586816,264.1789660598,-1.6183006517,130.68974186656,-44.96378928612,0.5587,0.0754,-5.48,0.082,4.997,0.085,17.695292,0.003007,1.57966,,,0.025132,0.72
