EDR3Name,GLON,GLAT,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP
Gaia EDR3 5522207475895335296,264.263474469,-1.6165175477,130.76541336862,-45.02917829922,0.5041,0.0213,-4.297,0.024,3.079,0.023,14.993495,0.002773,1.140857,,,0.007107
Gaia EDR3 5522207540307847296,264.2895261468,-1.5789559338,130.82996895368,-45.02646737052,0.3505,0.0776,-4.502,0.083,2.896,0.085,17.664953,0.003021,1.509735,,,0.02487
Gaia EDR3 5522207574667588992,264.2886912457,-1.5656675785,130.84402117379,-45.01760055503,0.3793,0.1762,-4.26,0.174,2.271,0.236,18.86338,0.003506,2.55516,,,0.093194
Gaia EDR3 5522207578974603904,264.2896351584,-1.5733694504,130.83627906517,-45.02310149144,0.7137,0.1737,-4.464,0.176,2.646,0.227,18.815315,0.00363,1.9947,,,0.079663
Gaia EDR3 5522207609027330048,264.2695305509,-1.580683636,130.81057974249,-45.01181609901,0.3337,0.1267,-4.958,0.123,3.849,0.166,18.414667,0.003304,1.706989,,,0.046989
Gaia EDR3 5522207643386668800,264.2711276519,-1.5620430452,130.83270753566,-45.00155656837,0.5106,0.0189,-4.409,0.02,3.064,0.022,14.448091,0.002769,0.953527,,,0.006864
Gaia EDR3 5522207643387073920,264.2688845374,-1.5718387476,130.81985422147,-45.00584497299,0.4718,0.1248,-4.221,0.125,2.846,0.169,18.422575,0.003262,1.69054,,,0.044635
Gaia EDR3 5522207643387082368,264.2683243936,-1.5653407375,130.82659189033,-45.00139048792,0.4847,0.0339,-3.755,0.036,3.023,0.038,16.186779,0.002801,1.338941,,,0.00901
Gaia EDR3 5522207647694065280,264.2732903705,-1.5720689074,130.82344627926,-45.00945052614,0.4617,0.0226,-4.316,0.024,3.962,0.025,15.313499,0.002778,0.997768,,,0.007241
Gaia EDR3 5522207682053820800,264.2857831934,-1.5618831696,130.8456889316,-45.01297646003,0.3593,0.056,-4.206,0.06,2.729,0.063,17.125208,0.002855,1.491608,,,0.014817
Gaia EDR3 5522207712106557184,264.2779553574,-1.5471317428,130.85525156682,-44.997708158,0.3755,0.0721,-3.491,0.076,3.742,0.079,17.521338,0.002914,1.606182,,,0.017628
Gaia EDR3 5522207712106566016,264.2754516758,-1.5357986287,130.86566157005,-44.98873561899,0.3881,0.1268,-4.043,0.122,3.166,0.156,18.26996,0.003193,1.62513,,,0.038861
Gaia EDR3 5522207716413560320,264.2740600037,-1.5372340354,130.86285029127,-44.98852936938,0.4857,0.0234,-4.431,0.025,3.091,0.026,15.34426,0.002772,1.110207,,,0.007212
Gaia EDR3 5522207780826041216,264.2697862764,-1.545270378,130.85018405284,-44.99013799272,0.4803,0.1579,-4.537,0.157,2.947,0.202,18.787642,0.003731,1.728895,,,0.066211
Gaia EDR3 5522207785133019776,264.2591527179,-1.5425470207,130.84392363296,-44.98009804499,0.5253,0.0173,-4.295,0.019,3.067,0.019,14.674422,0.002766,1.104926,,,0.007018
Gaia EDR3 5522207785133022208,264.2593326972,-1.5400220678,130.84688718253,-44.97867914254,0.4583,0.0436,-4.327,0.046,2.952,0.047,16.667313,0.002828,1.371294,,,0.011373
Gaia EDR3 5522207815185773440,264.2550442113,-1.573612529,130.80579625669,-44.99605994701,0.434,0.1526,-3.545,0.15,3.747,0.209,18.65205,0.003438,2.259859,,,0.057548
Gaia EDR3 5522207819492731520,264.2541851055,-1.5749252649,130.80358621113,-44.99619522575,0.4774,0.0453,-4.456,0.047,2.975,0.05,16.636114,0.002837,1.42487,,,0.010511
Gaia EDR3 5522207819492736640,264.2600455514,-1.5784161632,130.80481974467,-45.00295868504,0.5284,0.0211,-4.436,0.022,3.094,0.026,15.148825,0.00277,1.124677,,,0.007113
Gaia EDR3 5522207956922543232,264.254729896,-1.5468052106,130.83532838003,-44.97925310277,0.3178,0.0811,-4.319,0.087,3.393,0.093,17.647846,0.002982,1.631546,,,0.024962
Gaia EDR3 5522207991291440000,264.246917805,-1.5379446953,130.83835538979,-44.96763812785,0.4875,0.0152,-4.516,0.016,2.952,0.018,14.289704,0.002766,0.875721,,,0.006918
