EDR3Name GLON GLAT RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP RVDR2 e_RVDR2 e_BP-RP probs_final sel memb_probs
"Gaia EDR3 5522208644126423552" 264.2261814842 -1.5710797473 130.78342487486 -44.97180164794 0.5685 0.066 -4.357 0.068 2.986 0.078 17.435955 0.002948 1.530224 "" "" 0.019047 1.0 1 1.0
"Gaia EDR3 5522208644126430208" 264.2373034336 -1.5814676068 130.78157568451 -44.98696083004 0.5005 0.0759 -4.353 0.079 3.135 0.087 17.660631 0.002943 1.543314 "" "" 0.020021 1.0 1 1.0
"Gaia EDR3 5522208678486169344" 264.2274956699 -1.56200834 130.79465747748 -44.96723399887 0.486 0.0192 -4.42 0.02 3.06 0.022 14.955514 0.002768 1.031558 "" "" 0.007161 1.0 1 1.0
"Gaia EDR3 5522208747205631488" 264.2107137947 -1.5540531365 130.78886218405 -44.94912623333 0.4954 0.0107 -4.404 0.011 3.032 0.012 13.113091 0.002764 0.807681 "" "" 0.006684 1.0 1 1.0
"Gaia EDR3 5522208884644592512" 264.2026366847 -1.5253451757 130.81371527818 -44.92504671396 0.5144 0.0456 -4.359 0.051 2.89 0.049 16.667929 0.002833 1.377195 "" "" 0.011073 1.0 1 1.0
"Gaia EDR3 5522208919004305024" 264.2061768429 -1.578581831 130.75763665665 -44.96069953749 0.4963 0.0315 -4.326 0.033 2.925 0.036 16.050808 0.002794 1.350761 "" "" 0.008444 1.0 1 1.0
"Gaia EDR3 5522208987723765504" 264.1905328419 -1.5759067026 130.74697489264 -44.94674327557 0.5453 0.0115 -4.375 0.013 3.15 0.014 11.48775 0.002765 1.870705 27.18 0.27 0.006639 1.0 1 1.0
"Gaia EDR3 5522208987723771520" 264.1938675393 -1.573131849 130.75296637701 -44.94765409889 0.4965 0.0179 -4.488 0.019 3.102 0.021 14.460643 0.002763 1.034909 "" "" 0.006908 1.0 1 1.0
"Gaia EDR3 5522209022083510016" 264.1866387351 -1.5593288054 130.76200989012 -44.93344976273 0.6014 0.0391 -4.497 0.041 2.911 0.043 16.428955 0.002812 1.439009 "" "" 0.010483 1.0 1 1.0
"Gaia EDR3 5522209022083888256" 264.1851099661 -1.5606880494 130.75916687182 -44.9330862297 0.5427 0.0822 -4.253 0.093 2.875 0.092 17.830845 0.00303 1.633158 "" "" 0.025884 1.0 1 1.0
"Gaia EDR3 5522209052136416640" 264.201158768 -1.5416882499 130.79427079488 -44.93397809932 0.5723 0.1648 -4.381 0.164 2.995 0.211 18.667086 0.003289 1.7689 "" "" 0.04826 1.0 1 1.0
"Gaia EDR3 5522209056443267200" 264.1992590678 -1.5490991793 130.7843795198 -44.93706019982 0.5257 0.0212 -4.452 0.022 2.954 0.023 15.100387 0.002776 1.098227 "" "" 0.007384 1.0 1 1.0
"Gaia EDR3 5522209090803015552" 264.1967377667 -1.5265290089 130.80725641579 -44.92114036368 0.4906 0.0226 -4.333 0.023 3.065 0.026 15.307722 0.00277 1.109649 "" "" 0.007561 1.0 1 1.0
"Gaia EDR3 5522209120855407104" 264.1805323618 -1.5405538837 130.77755072941 -44.91705817085 0.489 0.0189 -4.368 0.021 2.982 0.021 14.835092 0.002767 1.000864 "" "" 0.007368 1.0 1 1.0
"Gaia EDR3 5522209120855407744" 264.1837313757 -1.5421456465 130.77857029782 -44.92055656496 0.5217 0.0102 -4.363 0.011 3.083 0.012 11.890728 0.002761 1.766802 25.61 0.41 0.006647 1.0 1 1.0
"Gaia EDR3 5522209125162729344" 264.1806535886 -1.5376510346 130.78088118651 -44.91536140198 0.5188 0.0123 -4.412 0.012 2.873 0.014 13.032701 0.002767 0.845481 "" "" 0.006662 1.0 1 1.0
